Description,Score
"""I've lived in this apartment for 8 years now. It's just me and my daughter Lily who is 12. Her dad walked out on us when she was a baby, so it's just been the two of us getting by on my income working part-time at the grocery store. 

Things were tight but manageable until about 6 months ago when I started having really bad anxiety attacks. I've struggled with anxiety and depression my whole life, but it had been under control for years with medication and therapy. But I don't know, something just snapped and the anxiety became overwhelming. 

I had to take a leave from work, which meant no income coming in. I applied for disability benefits but it's a long process. We burned through what little savings we had pretty quickly trying to pay rent and bills. I just couldn't get on top of it, worrying about money just made the anxiety worse which made working or even applying for jobs impossible.

I kept meaning to go to the food bank or apply for other assistance, but just couldn't face leaving the apartment most days. Lily has been doing her best to help out around the apartment, making meals, doing chores. But she's just a kid, she shouldn't have to take care of me. I'm her mother, I'm supposed to be taking care of her.

I'm just so embarrassed and ashamed. I feel like I've failed as a parent, failed at being a responsible adult. I know I should have reached out for help sooner before it got this bad. Now we're being evicted and I have no idea what we're going to do or where we'll go. I've really messed this up.""",44
"""I'm a single mom with two kids under 10. I work part-time at a grocery store, but it's really hard to make ends meet. With rent, utilities, food, and everything else, I'm constantly behind on bills. 

This month, I got behind on the rent because I had to pay for new medication for my son's asthma. I know I should have notified the landlord, but I was embarrassed and hoping I could catch up next month. 

Then my car broke down, and I had to use what little savings I had to fix it so I could get to work. By the time I could scrape together most of the rent money, the landlord had already started eviction proceedings.

I tried explaining my situation, but he wouldn't budge. He said too many tenants use hard luck stories as excuses. Now I'm so stressed because I don't know where we'll go if we get evicted. Shelters are full, and I don't have any family nearby who can take us in. I cry myself to sleep some nights worrying about my kids ending up homeless.""

This account highlights some potential vulnerability factors like being a low-income single parent, having a child with a medical condition, unreliable transportation, and lack of familial support network. However, it leaves out labeling the tenant with a specific vulnerability score, instead illustrating their circumstances through their own words.",47
"""I'm so stressed out over this eviction notice. I lost my job back in March due to COVID layoffs at the factory where I worked. I've been struggling to make ends meet on just my disability check ever since. With my bad back, it's hard for me to find another physical labor job. 

I managed to pay partial rent most months by skimping on groceries and cutting out any extra expenses. But I got behind a couple months when my car needed a major repair that wiped out my meager savings. Public transportation is very limited in my area, so not having a car makes it extremely difficult to get to job interviews or appointments.

I tried explaining my situation to the landlord and made a payment plan to catch up the back rent, but they refused and filed for eviction instead. I have no family in the area to help me out. I'm just a single guy with no kids, so I don't qualify for most rental assistance programs. 

If I get evicted now, having that on my record will make it almost impossible to get approved for another apartment with my poor credit and lack of income. I could end up homeless at this rate. I'm terrified of losing my longtime home during this pandemic when shelters are overcrowded and unsafe. I don't know where I'll go or what I'll do.""",64
"""It's been a really tough year for me. Last fall, I lost my job at the factory when they had huge layoffs. I was out of work for 4 months before finally finding a new job as a cashier at the grocery store. But it doesn't pay nearly as much as my old job. 

With the reduced income, it's been a constant struggle to make ends meet and pay all the bills on time. I've gotten behind on the rent a few times, but have managed to catch up eventually by picking up extra shifts. 

However, two months ago my hours were cut back at work due to staffing changes. I fell really behind on the rent again. I'm doing everything I can, but I've had to make tough choices between paying rent, groceries, utilities, etc. I just don't have enough money coming in right now.

To make matters worse, my son who's 8 years old has been having some health issues. He has asthma and the medication isn't cheap with my health insurance. He missed a lot of school this year because of asthma attacks. I'm a single mom, and it's been incredibly stressful trying to manage everything on my own.

I did explain my situation to the landlord and I thought they were working with me. But then last week, I received an eviction notice for non-payment of rent. I'm so stressed and don't know what I'm going to do. I have nowhere else to go with my son if we get evicted from our apartment. I've been looking for a second job, but it's not easy juggling everything.""",67
"""It all started when my hours got cut back at work last year. I've been a cashier at the grocery store for 8 years, but they had to let some people go due to the pandemic. I went from working 35 hours a week down to 20 hours. My rent is $950 a month for this one-bedroom apartment. 

With the reduced income, it's been really tough to make ends meet. I've fallen behind on the rent the last few months. The late fees just keep piling up too. I owe over $2,000 to the landlord now between back rent and fees. 

I've tried to pick up some side gigs like driving for a food delivery service, but it's not enough. I'm a single mom, and my 10-year-old son has some learning disabilities. He needs extra help with school through a tutoring program that costs $200 a month. I can't afford to stop paying for that.

I've been putting off going to the doctor because I don't have health insurance and the copays are so expensive. But I've been having terrible migraine headaches that make it hard to work somedays. 

I feel stuck. I don't have any family nearby who can help me. The churches and nonprofits I've asked said their rental assistance funds are all tapped out. I'm doing my best, but I'm just unable to catch up on the back rent right now. I'm so stressed wondering if we're going to end up homeless.""",67
"My name is Marcus and I'm 28 years old. I'm being evicted from my apartment because I lost my job six months ago and haven't been able to pay the rent. It's just been one thing after another for me. 

I worked as a line cook at a restaurant downtown, but they had to shut down during the pandemic. Since then, I've applied for over 100 jobs with no luck. I don't have any family who can help me out financially. My mom passed away when I was young and I never knew my dad. 

I dropped out of high school when I was 16 to work full-time after my mom got sick. I never went back to get my diploma. With just a basic education and no special skills, it's been really tough finding work. 

On top of that, I struggle with depression and anxiety. I take medication for it, but it's still hard. Some days I can barely get out of bed. I've had a couple runs-in with the law related to incidents where I was drunk and disorderly. Nothing too serious, but it's another strike against me.

I've been couch surfing with friends the last couple months since I got the eviction notice. I don't know what I'm going to do. I applied for unemployment benefits and food stamps, but it hasn't been enough to cover the back rent I owe. I'm feeling pretty hopeless and alone right now.",9
"""I'm a single mother of two kids, ages 8 and 5. My youngest has severe asthma, and the conditions in our apartment have been making it worse. There's mold growing in the bathroom and kitchen, and the landlord hasn't done anything about it, despite my repeated requests. 

Last month, I had to take my son to the emergency room because of an asthma attack, and the doctor said the mold could be a trigger. I tried to explain the situation to the landlord, but he just brushed me off and said it was my problem.

On top of that, my hours at work have been cut back, and I'm struggling to make ends meet. I fell behind on rent for a couple of months, but I've been trying to catch up. I even took on a second job, but it's been tough juggling everything.

Now, the landlord is trying to evict us. I don't know what I'm going to do. I can't afford to move, and finding a place that's safe for my son's asthma is going to be really difficult. I'm so stressed out, and I feel like I'm failing my kids.""

In this account, the tenant is facing multiple vulnerabilities, including health issues with her child, financial instability due to reduced work hours, and potential homelessness due to the eviction. The mold in the apartment is exacerbating her child's asthma, and the landlord's lack of responsiveness to her requests for repairs adds to her difficulties. The stress of juggling work and caregiving responsibilities while facing eviction paints a picture of a vulnerable tenant in a challenging situation.",83
"I'm not really sure why I'm being evicted to be honest. I've always paid my rent, even if it was a little late sometimes when money was tight. But the landlord said he's terminating my lease for repeated late payments.  

It's true that over the past year or so, I've been having some issues keeping up with everything. My wife lost her job during the pandemic and money has been really tight while she's been looking for a new job. With just my salary, it's been a struggle to cover all the bills on time every month.

On top of that, my elderly mother's health has been declining and I've had to take her to a lot of medical appointments and help care for her when I'm not at work. It's been stressful juggling everything.

I did fall behind on a couple rent payments when things were really bad, but I always paid the late fees and got caught up eventually. I don't think it was that big of a deal to warrant evicting me. But I guess the landlord has decided he's done with me as a tenant.

I've lived in this apartment for 8 years. It's gonna be really hard to find a new affordable place, especially on short notice like this. I'm not sure what I'm gonna do. I may have to move in with my brother temporarily until I can get back on my feet financially. This whole situation is just a mess and has me pretty down. I really wish the landlord would reconsider and let me stay.",21
"""I'm so stressed out, I can barely sleep at night. I got the eviction notice last week and my heart just sank. I've lived in this little apartment for 8 years - it's not much, but it's home. 

I lost my job back in March when the pandemic hit. I worked as a server at a restaurant downtown and they had to let almost everyone go. I filed for unemployment right away but it took months for the payments to finally start coming in. By then, I was already so behind on rent. 

My landlord seemed understanding at first when I explained the situation, but then he got really impatient and started sending me late notices and threats to evict. I've been paying what I can with my unemployment, but it hasn't been enough to cover the full rent, let alone catch up on what I owe.

On top of that, my son's asthma has been really bad lately. He's had to go to the ER a couple times in the last few months. The medical bills have been piling up too. I'm doing my best but I'm completely overwhelmed trying to take care of him, find a new job, and deal with this eviction. 

I don't know what I'll do if I lose this place. My family lives across the country and I can't just move back in with them. I'm so scared of becoming homeless, especially with my son's health issues. I wish my landlord could see how hard I'm trying and give me just a little more time. But the eviction hearing is next week and I'm terrified.""",36
"""I'm sorry, I know I'm behind on rent again. It's been really tough lately. My hours got cut back at the grocery store because they had to make some layoffs. I'm only getting about 25 hours a week now instead of the full-time schedule I used to have. 

On top of that, my son Jamie has been having a really hard time in school. He's been acting out and having behavioral issues. The school counselor recommended we get him into therapy, but that costs money we just don't have right now. My ex hasn't been paying his child support regularly, so it's all fallen on me.

I've been taking on some side gigs like dog walking and cleaning houses when I can, but it hasn't been enough to cover everything. With my reduced income, something had to give. I thought I could get back on track with the rent, but then my car broke down and I had to pay for those repairs. 

I'm so stressed and anxious all the time. I've been having trouble sleeping, which makes it hard to get through my shifts at work. I have to be there for Jamie, but I'm just stretched so thin. I don't know what I'll do if we lose our apartment. We don't have any family in the area to stay with. Please, if you can give me just a few more weeks, I'm sure I can catch up. I'll pick up extra shifts wherever I can. I'm just asking for a little understanding during this difficult time.""",87
