Outcome,Prediction
1,0.47831267
0,0.48202768
1,0.4807511
1,0.48322517
0,0.4822954
0,0.4860335
0,0.4812434
0,0.48839235
1,0.48654428
0,0.48510942
1,0.4843543
0,0.48247236
0,0.47838858
0,0.48852226
0,0.48533872
0,0.47987828
1,0.48123187
0,0.48201463
0,0.48212227
0,0.48394302
1,0.48888183
1,0.47992444
0,0.48374718
0,0.4916688
1,0.47897154
0,0.48473448
0,0.49019426
1,0.48006028
1,0.48133543
0,0.47857726
1,0.48951378
0,0.48932776
0,0.48276109
0,0.48336205
0,0.48326558
1,0.4861911
0,0.48547706
0,0.49052763
0,0.47829148
1,0.47831056
1,0.4824375
1,0.4877984
0,0.4796355
0,0.48683265
1,0.483762
1,0.48857912
1,0.48169455
0,0.47788215
1,0.48253733
1,0.4877083
0,0.4759884
0,0.4869701
1,0.4826349
0,0.48167473
1,0.48654813
0,0.48424676
0,0.48110273
0,0.48327535
1,0.48251265
1,0.48837045
0,0.4895707
0,0.48860812
1,0.48556778
0,0.48667857
0,0.48180413
0,0.48671824
1,0.48239496
1,0.48426658
1,0.48556677
0,0.48697713
0,0.47643164
1,0.48644486
0,0.48316762
1,0.47796944
1,0.4802153
0,0.4828163
1,0.48217118
0,0.48153093
1,0.47854522
0,0.48387024
1,0.4789719
1,0.48348492
0,0.48353297
1,0.4817967
0,0.4742881
0,0.48538923
0,0.48363864
0,0.48435247
1,0.48852563
1,0.47529387
0,0.48264527
0,0.48346862
0,0.4814927
0,0.48607293
0,0.4753182
0,0.4885969
1,0.4837805
0,0.48425025
1,0.48487285
1,0.48359165
1,0.47937125
0,0.4838183
0,0.4809132
0,0.4796927
1,0.48470223
0,0.48531505
0,0.48232844
0,0.48451114
0,0.48258767
0,0.48513755
0,0.4792696
1,0.47941697
0,0.48148137
0,0.47113797
1,0.48553514
0,0.48192045
0,0.48341137
1,0.48718578
1,0.47991458
0,0.48779923
1,0.4835517
0,0.48493105
1,0.48353028
0,0.48101425
0,0.47829577
0,0.48096243
1,0.48520473
1,0.47961673
0,0.48640108
1,0.48497644
0,0.48830715
0,0.4867597
0,0.4801385
0,0.48515576
1,0.4876633
0,0.47789893
0,0.48057535
0,0.47813135
0,0.4801365
1,0.48678955
0,0.48720428
0,0.48011228
1,0.49099305
0,0.4805565
0,0.48660526
0,0.48981848
0,0.48448172
0,0.48648715
1,0.48246565
0,0.47840974
0,0.48874265
1,0.48693192
0,0.483905
0,0.4789562
0,0.47676727
0,0.48305878
0,0.4821738
0,0.4847265
1,0.48917237
1,0.47598448
1,0.48605165
0,0.4881232
0,0.4801063
0,0.48220026
0,0.4855392
0,0.48099896
1,0.48020416
0,0.48774248
0,0.48409662
0,0.4834343
1,0.48221746
1,0.48239443
1,0.47990638
0,0.4830442
0,0.4778761
1,0.48231286
1,0.48232782
0,0.4868064
0,0.47467563
0,0.48260206
1,0.4834705
1,0.48717862
0,0.47998416
0,0.4794782
0,0.48189148
0,0.48050576
0,0.4785493
0,0.47814435
0,0.48633903
0,0.4882735
0,0.48108345
0,0.48530832
0,0.47991422
1,0.48687625
0,0.48290503
1,0.4766944
0,0.4807406
1,0.48173022
1,0.48121634
1,0.48494738
0,0.48073882
1,0.4842942
0,0.48852506
0,0.48721412
0,0.481852
0,0.48741862
0,0.47163343
0,0.4780765
0,0.47994745
0,0.47849613
0,0.48130503
1,0.48571855
0,0.47563076
0,0.48304766
1,0.480848
