Outcome,Prediction
1,0.21418516
0,0.13215536
1,0.17932864
1,0.22776257
0,0.13322785
0,0.1888807
0,0.13261335
0,0.21806355
1,0.12467641
0,0.24286649
1,0.1887067
0,0.10018998
0,0.237853
0,0.23162238
0,0.26677108
0,0.19567183
1,0.116675206
0,0.21894027
0,0.16529627
0,0.21847922
1,0.2406982
1,0.120832644
0,0.14983286
0,0.17485213
1,0.17540255
0,0.24229866
0,0.12266421
1,0.19023827
1,0.23288067
0,0.2305165
1,0.26406893
0,0.15029883
0,0.16040225
0,0.18210863
0,0.2333062
1,0.25065476
0,0.110353455
0,0.26077712
0,0.21311781
1,0.11914246
1,0.16844589
1,0.24602687
0,0.19852827
0,0.17291676
1,0.17078695
1,0.26038593
1,0.1746957
0,0.15096286
1,0.13885954
1,0.18122533
0,0.109612815
0,0.235924
1,0.174754
0,0.23410434
1,0.15316649
0,0.21257986
0,0.20007558
0,0.2211145
1,0.18365861
1,0.22607839
0,0.259429
0,0.26469216
1,0.2549642
0,0.14606991
0,0.12786534
0,0.1211029
1,0.16817173
1,0.09928268
1,0.21705051
0,0.19354586
0,0.09920238
1,0.19159895
0,0.172276
1,0.22018193
1,0.14890943
0,0.19349691
1,0.15990703
0,0.20384853
1,0.12824433
0,0.21454194
1,0.15342773
1,0.10021853
0,0.14347066
1,0.16154808
0,0.18503329
0,0.12274779
0,0.13154984
0,0.2324932
1,0.27172604
1,0.19273606
0,0.21413942
0,0.25290245
0,0.14569332
0,0.118806355
0,0.22585317
0,0.25526634
1,0.095692895
0,0.26136845
1,0.22309911
1,0.24184
1,0.115062766
0,0.23407945
0,0.10146813
0,0.09976267
1,0.28364354
0,0.22247253
0,0.23034598
0,0.15719448
0,0.14109294
0,0.22017318
0,0.17439894
1,0.09506037
0,0.10294029
0,0.10782374
1,0.24998347
0,0.14153686
0,0.23093839
1,0.26579273
1,0.13795815
0,0.2511955
1,0.18161175
0,0.16653916
1,0.18792926
0,0.23591776
0,0.15689301
0,0.11513617
1,0.1631504
1,0.18075803
0,0.22459097
1,0.22917493
0,0.14530002
0,0.15156531
0,0.16378129
0,0.19831437
1,0.26400372
0,0.1759688
0,0.15829436
0,0.12805018
0,0.21216369
1,0.21572539
0,0.14000592
0,0.19497435
1,0.25092795
0,0.120437205
0,0.253151
0,0.14084527
0,0.11551111
0,0.10405581
1,0.21054815
0,0.14347678
0,0.16580419
1,0.18963932
0,0.22575971
0,0.09134842
0,0.17199883
0,0.13683617
0,0.15472531
0,0.1970937
1,0.27127358
1,0.15524097
1,0.22710215
0,0.21331151
0,0.23482664
0,0.21502496
0,0.20745254
0,0.13472356
1,0.124195054
0,0.22183612
0,0.25108886
0,0.16656658
1,0.19443344
1,0.10889335
1,0.14269839
0,0.14700826
0,0.13265991
1,0.12120188
1,0.20625761
0,0.22139628
0,0.14763328
0,0.14017949
1,0.14533518
1,0.16609232
0,0.14735642
0,0.11080653
0,0.09862997
0,0.11868738
0,0.11762877
0,0.14861977
0,0.18005185
0,0.24247327
0,0.12457638
0,0.19249177
0,0.13803674
1,0.19621076
0,0.11017517
1,0.18555929
0,0.2144104
1,0.1304286
1,0.21498005
1,0.21913944
0,0.10793554
1,0.25169173
0,0.12986392
0,0.23483786
0,0.17608367
0,0.11719494
0,0.11278916
0,0.20572242
0,0.21279494
0,0.14835753
0,0.09938307
1,0.15269072
0,0.119441114
0,0.14283036
1,0.19249894
0,0.21232522
1,0.1367405
0,0.13879925
0,0.14051445
1,0.10966207
0,0.17070967
0,0.13781856
