Outcome,Prediction
1,0.48201862
1,0.4864009
0,0.4908166
0,0.48901415
0,0.4863951
1,0.48614776
1,0.48583665
1,0.4846897
0,0.48616624
0,0.48526922
1,0.48960286
0,0.49091923
0,0.48403606
0,0.48769635
1,0.48586732
0,0.486452
0,0.4881357
0,0.4876658
0,0.4869977
0,0.4872913
1,0.4820987
0,0.48652032
0,0.48923194
0,0.48846287
0,0.4877128
1,0.48817915
0,0.4847445
1,0.486909
1,0.48620874
1,0.48147267
0,0.48909998
1,0.48825628
1,0.48562533
0,0.4852201
1,0.4820549
0,0.48697993
0,0.48278102
1,0.48765358
1,0.48092785
0,0.4859928
1,0.48614433
0,0.48789656
0,0.48162898
1,0.48890263
0,0.48761612
1,0.49106398
1,0.48511347
0,0.4871944
0,0.48431373
0,0.48561162
0,0.48608974
0,0.49017668
0,0.48757347
0,0.48435363
1,0.487417
0,0.48218906
0,0.4890221
0,0.4850646
0,0.4880019
1,0.48604894
0,0.4894541
0,0.49044847
0,0.4832275
1,0.48503488
0,0.48102605
1,0.48508668
0,0.4915471
0,0.48292547
0,0.484567
1,0.4886036
0,0.48074195
0,0.4851969
1,0.48668078
0,0.4853168
0,0.48819077
0,0.48258397
1,0.4840979
0,0.4891381
0,0.48941284
1,0.4882436
0,0.48970824
1,0.48781744
0,0.48745006
0,0.48572934
0,0.48374876
1,0.4868548
1,0.48925072
1,0.4835704
0,0.48921347
0,0.4849274
1,0.48425776
1,0.48727044
0,0.4892902
1,0.48590583
0,0.4813696
0,0.48907208
0,0.48434004
0,0.48602107
1,0.48308167
1,0.48515722
0,0.4855881
0,0.48592508
0,0.48592085
0,0.48854795
0,0.49983925
1,0.4850598
0,0.48419985
0,0.4818024
0,0.48706898
0,0.48524198
0,0.48196268
0,0.4833561
0,0.48535416
1,0.48257732
0,0.48592174
0,0.48768577
1,0.49947986
1,0.48636073
0,0.4842476
1,0.49222136
1,0.48300278
0,0.4896338
0,0.48493856
0,0.48535597
0,0.48422223
0,0.4857344
0,0.48367506
0,0.48856336
1,0.48279354
0,0.48376307
1,0.4865434
0,0.48801267
0,0.48321804
0,0.48167434
1,0.48924273
1,0.48510033
0,0.48552272
0,0.4839845
1,0.48602715
1,0.4779003
1,0.48564962
0,0.48631772
0,0.49225444
0,0.48387456
0,0.4884563
0,0.48714033
0,0.4855704
0,0.4815868
0,0.48429155
1,0.48383048
0,0.486178
0,0.48193282
0,0.4834881
1,0.4821996
0,0.48854196
0,0.48589385
0,0.48566493
0,0.486819
1,0.4874853
0,0.48428103
1,0.4874865
0,0.4835373
1,0.4899812
1,0.4855433
1,0.47788468
0,0.49082208
1,0.48277926
1,0.48289222
1,0.48553905
0,0.47896293
1,0.4857712
1,0.4845897
0,0.4863239
1,0.4835509
0,0.4813198
1,0.48422942
1,0.48566574
1,0.48498893
0,0.48249605
0,0.4876482
0,0.48789603
0,0.4896622
0,0.4853944
0,0.49062103
1,0.4841079
0,0.48724648
1,0.48197296
0,0.48395807
0,0.4870199
0,0.4860118
0,0.4874495
0,0.4879194
1,0.4879839
0,0.48818618
0,0.4851869
0,0.4867405
0,0.48400408
1,0.48786613
0,0.48293853
0,0.48884413
0,0.48465717
0,0.48281714
1,0.4870353
0,0.48709863
1,0.48574266
1,0.48446187
0,0.47888893
0,0.48645645
1,0.48007965
1,0.4853449
1,0.48845425
0,0.4864772
1,0.4908471
1,0.48773727
1,0.48727337
1,0.48695788
0,0.4904656
0,0.48342496
0,0.49003527
1,0.4864221
0,0.4873634
0,0.48300797
0,0.48432916
0,0.48747712
0,0.48569748
0,0.4892926
0,0.48453042
0,0.48534817
0,0.48675576
1,0.4894713
0,0.48515493
1,0.48567265
0,0.48437417
0,0.48362127
1,0.48420376
1,0.4874406
0,0.49039206
1,0.4877235
0,0.48743734
0,0.48560116
0,0.48446873
0,0.48526448
0,0.4841817
0,0.48589465
0,0.48557323
0,0.48351517
1,0.4842604
0,0.48931935
0,0.48919126
0,0.4812852
0,0.48608533
0,0.48661354
0,0.48345873
0,0.490657
0,0.4878403
0,0.4876006
0,0.48633444
0,0.48523134
1,0.4864496
0,0.48781496
0,0.48467752
0,0.4880239
0,0.4885303
0,0.48586002
0,0.48149145
0,0.4857312
0,0.48722035
0,0.48633602
0,0.47772786
0,0.48790032
0,0.4814144
0,0.4865207
0,0.48295572
1,0.48572275
0,0.4855659
0,0.48590773
0,0.48623183
1,0.48813587
0,0.4872445
1,0.49120757
0,0.48736382
0,0.48515183
0,0.4886164
1,0.48513654
0,0.49242955
1,0.4868976
0,0.48571184
0,0.48122558
0,0.48795763
0,0.4850798
1,0.48068622
0,0.48945943
0,0.4875343
0,0.48413095
0,0.48857725
0,0.48435777
1,0.4875585
1,0.48723418
1,0.48916966
0,0.48480552
0,0.48153156
0,0.4902317
0,0.48211145
0,0.4881337
1,0.50040424
0,0.4879747
0,0.48429456
0,0.48302713
0,0.48510373
1,0.49053013
1,0.48648658
0,0.48433048
1,0.48902324
0,0.48793653
1,0.4859266
1,0.4822153
0,0.48788574
1,0.48744375
0,0.48565182
0,0.48637024
1,0.4890381
0,0.48269767
1,0.4823227
0,0.48407048
0,0.4854875
1,0.4857329
0,0.48635936
1,0.4823632
1,0.47855988
0,0.49057388
1,0.4816075
0,0.48722166
0,0.4894443
1,0.48374566
0,0.4834251
1,0.4875436
0,0.48763752
1,0.48384222
0,0.48395544
1,0.4862526
0,0.48596975
0,0.4849521
0,0.4849275
0,0.4849922
0,0.48600313
0,0.48753107
0,0.4879463
0,0.4872475
1,0.48731148
0,0.4861989
0,0.4869252
1,0.4890986
1,0.484631
0,0.4879409
0,0.4870499
1,0.4853384
0,0.48560104
0,0.4871232
1,0.49091947
0,0.48508263
0,0.48411325
0,0.48059207
1,0.48404714
0,0.48144794
0,0.48740903
0,0.4836945
0,0.49018013
0,0.4895268
0,0.4803187
0,0.48616952
1,0.4865316
0,0.4830405
1,0.49011317
0,0.48706463
0,0.48396927
1,0.48681292
0,0.4911193
0,0.48034576
1,0.48729405
1,0.4813733
0,0.48276588
0,0.48811418
1,0.48792857
0,0.48655796
0,0.48712492
0,0.48850343
0,0.4868783
1,0.4911315
1,0.48235255
0,0.48368394
0,0.48562822
1,0.48556867
0,0.48840854
0,0.48118463
1,0.48918796
1,0.48538512
0,0.4849402
1,0.48145422
0,0.48493278
1,0.4859271
0,0.48942956
0,0.48745903
0,0.48401442
0,0.48135695
0,0.48657164
0,0.48972997
1,0.4825352
0,0.4865104
0,0.48371843
0,0.4895156
0,0.48807728
1,0.48845288
0,0.4893928
0,0.48837036
0,0.4850311
