Outcome,Prediction
1,0.19429272
1,0.21013041
0,0.18715677
0,0.21698776
0,0.22256516
1,0.24298407
1,0.22542605
1,0.21972653
0,0.23308912
0,0.19003448
1,0.23761882
0,0.24111527
0,0.18138134
0,0.23114884
1,0.15629329
0,0.19605742
0,0.23542781
0,0.19370966
0,0.24098088
0,0.2023391
1,0.19894786
0,0.23360403
0,0.23229857
0,0.22192492
0,0.22491567
1,0.1975747
0,0.23940857
1,0.2318866
1,0.18558227
1,0.2131242
0,0.20193356
1,0.2360979
1,0.2341872
0,0.20652339
1,0.18680885
0,0.1766196
0,0.23556373
1,0.18711326
1,0.19095373
0,0.23092948
1,0.22052701
0,0.20456685
0,0.20284587
1,0.22498566
0,0.248968
1,0.17918658
1,0.2218435
0,0.23286335
0,0.24021155
0,0.22253175
0,0.1914015
0,0.17514049
0,0.22027473
0,0.19153985
1,0.23474608
0,0.1789453
0,0.2171463
0,0.22974056
0,0.19618022
1,0.19258828
0,0.19054519
0,0.19022048
0,0.20675297
1,0.19809988
0,0.21703331
1,0.23834765
0,0.25230744
0,0.2269477
0,0.17471853
1,0.19386011
0,0.22492188
0,0.21125619
1,0.20094734
0,0.17113933
0,0.21551695
0,0.21455954
1,0.25180456
0,0.20763516
0,0.24329191
1,0.17735134
0,0.23645863
1,0.2554834
0,0.22243564
0,0.2312689
0,0.18628941
1,0.24358556
1,0.2580728
1,0.20504011
0,0.19008064
0,0.20150304
1,0.20135897
1,0.20676972
0,0.2515188
1,0.24176952
0,0.17842212
0,0.17699382
0,0.24542418
0,0.19417037
1,0.21090837
1,0.22257788
0,0.22256987
0,0.19231802
0,0.22299042
0,0.25213927
0,0.22754352
1,0.2204659
0,0.18594554
0,0.219172
0,0.2405077
0,0.21717028
0,0.21041442
0,0.25015128
0,0.24954648
1,0.2290877
0,0.17164902
0,0.24083067
1,0.22741821
1,0.18112311
0,0.23439702
1,0.20764448
1,0.22306508
0,0.21632023
0,0.1998334
0,0.16585328
0,0.21177311
0,0.23038773
0,0.23186849
0,0.21155918
1,0.2065811
0,0.19954917
1,0.23472527
0,0.19986886
0,0.2126251
0,0.17872167
1,0.20218328
1,0.22160052
0,0.195268
0,0.21396519
1,0.19203404
1,0.16739848
1,0.22551413
0,0.17283796
0,0.1859373
0,0.22734447
0,0.18878503
0,0.22018674
0,0.19761148
0,0.2377542
0,0.22910987
1,0.18954946
0,0.2189151
0,0.20030986
0,0.21227244
1,0.26097548
0,0.19392149
0,0.22427467
0,0.23975748
0,0.20059206
1,0.1785825
0,0.17461205
1,0.22071993
0,0.19032198
1,0.22261967
1,0.22214001
1,0.17901957
0,0.25030872
1,0.2308063
1,0.16925833
1,0.19882368
0,0.21272224
1,0.22403204
1,0.2611728
0,0.22269852
1,0.23409618
0,0.1966643
1,0.22359306
1,0.22948682
1,0.22191216
0,0.22826429
0,0.23829718
0,0.23639052
0,0.2496963
0,0.22859631
0,0.21396507
1,0.24606071
0,0.21050815
1,0.19270468
0,0.19456114
0,0.2304163
0,0.17144339
0,0.23435088
0,0.23842421
1,0.24138057
0,0.23534465
0,0.20478787
0,0.18715858
0,0.19662404
1,0.26109135
0,0.20849016
0,0.2121121
0,0.23503721
0,0.19479257
1,0.2365097
0,0.19678245
1,0.23452312
1,0.19135056
0,0.17949834
0,0.23933831
1,0.2173162
1,0.23809944
1,0.25467798
0,0.23041178
1,0.2110393
1,0.23093893
1,0.2454477
1,0.2146759
0,0.24836949
0,0.24177432
0,0.22543316
1,0.22483374
0,0.21139826
0,0.23375183
0,0.20670646
0,0.24118766
0,0.1959705
0,0.23012708
0,0.2062325
0,0.23496705
0,0.22054225
1,0.24884723
0,0.20992143
1,0.22253226
0,0.22935972
0,0.20440957
1,0.237039
1,0.21142937
0,0.22841986
1,0.24540384
0,0.16869032
0,0.16964158
0,0.19845504
0,0.20318606
0,0.2558997
0,0.19974378
0,0.16952145
0,0.19174169
1,0.21472485
0,0.2326659
0,0.21748064
0,0.22745481
0,0.23536399
0,0.18929024
0,0.2246023
0,0.2053072
0,0.23665167
0,0.22789037
0,0.18806724
0,0.21050684
1,0.23191544
0,0.23258471
0,0.2027149
0,0.23598856
0,0.20537145
0,0.15663551
0,0.18911038
0,0.25445136
0,0.21651216
0,0.20597354
0,0.20229374
0,0.21598087
0,0.18064015
0,0.21327224
0,0.21398786
1,0.24044727
0,0.19339857
0,0.2471474
0,0.20693333
