Outcome,Residuals
0,-0.7038729786872864
0,-0.010703750886023045
1,0.38352835178375244
1,0.40794700384140015
0,-0.003529076464474201
1,-0.17621807754039764
0,-0.0032495944760739803
1,0.2835979461669922
0,-0.017394350841641426
1,-0.0035772109404206276
0,-0.006914739962667227
0,-0.07435349375009537
1,0.31989896297454834
1,0.32913684844970703
0,-0.0032180973794311285
0,-0.003522278508171439
0,-0.0037766078021377325
0,-0.7077694535255432
0,-0.16538448631763458
0,0.2937985062599182
1,0.28608423471450806
0,-0.13571706414222717
0,-0.003768147900700569
1,-0.0733402743935585
1,-0.0036532834637910128
0,0.2929583191871643
0,-0.0038315204437822104
0,-0.10080119222402573
1,-0.08995196223258972
0,-0.004609307274222374
0,-0.003857503179460764
0,-0.056455884128808975
1,-0.00347349070943892
1,-0.007459450047463179
0,-0.004327292088419199
0,-0.7098091244697571
0,-0.08769170194864273
1,0.27960944175720215
1,0.3301764130592346
1,0.7801690697669983
0,-0.002814996987581253
0,-0.003647747216746211
1,0.2797994017601013
0,-0.003463567001745105
0,-0.5844407081604004
0,-0.7304468750953674
0,-0.003910835366696119
1,-0.004005474038422108
0,-0.0033067017793655396
1,-0.004164064768701792
0,-0.0075974115170538425
0,-0.0041495924815535545
0,-0.03210718184709549
0,-0.004214294720441103
1,-0.0037356314714998007
0,-0.004425698891282082
0,-0.7099413871765137
1,-0.0037813703529536724
0,-0.0037540472112596035
0,-0.0033016533125191927
0,-0.0036169015802443027
0,-0.0034522302448749542
0,-0.6964337229728699
0,-0.005174150224775076
0,-0.003853598842397332
0,-0.0038285297341644764
0,-0.01243036799132824
1,-0.0036898667458444834
1,-0.6881976127624512
0,-0.0033477398101240396
1,0.3265536427497864
1,-0.003584878286346793
0,-0.01648135855793953
0,-0.7236438989639282
1,0.3266744613647461
0,-0.0037941092159599066
0,-0.004711043555289507
1,-0.003827066160738468
0,-0.003920997958630323
0,-0.00421505980193615
0,-0.0038906587287783623
1,-0.0033220204059034586
0,-0.003724848385900259
1,-0.026143167167901993
0,0.3400319218635559
0,-0.003057120367884636
0,-0.295810729265213
0,-0.003880236530676484
0,0.2711823582649231
1,0.31756317615509033
0,-0.003933131229132414
1,0.35499536991119385
1,-0.0040499372407794
0,0.3724362850189209
0,-0.00346484431065619
1,-0.004485325887799263
0,-0.1329914629459381
1,-0.004173921421170235
0,-0.727398693561554
0,-0.004406844265758991
0,-0.011141798458993435
1,-0.004869718570262194
0,-0.007156681269407272
1,-0.006349653005599976
1,-0.008202669210731983
0,0.2840659022331238
0,-0.6846897006034851
0,-0.19175754487514496
0,-0.003605128964409232
0,-0.7067974209785461
0,-0.003896100912243128
0,-0.1657155454158783
1,0.6037453711032867
0,-0.0037318761460483074
1,0.2817859649658203
0,-0.0037319560069590807
1,0.33714473247528076
1,0.30548012256622314
1,-0.5106480121612549
0,0.29815375804901123
1,0.3005780577659607
1,-0.013010462746024132
0,0.31541818380355835
1,0.27703410387039185
0,-0.0041594128124415874
1,-0.012882640585303307
1,-0.003646276192739606
0,-0.00486604543402791
0,-0.6957770586013794
0,-0.004510302096605301
0,-0.10523471981287003
0,-0.0033931841608136892
1,-0.003100305562838912
0,-0.0035334425047039986
1,0.2814405560493469
0,-0.6960183382034302
0,0.3094361424446106
0,-0.011062641628086567
0,-0.6272700428962708
1,-0.0038867334369570017
0,-0.6417417526245117
0,-0.003871803404763341
0,-0.0037575801834464073
0,-0.0686812698841095
1,0.2744821310043335
1,0.6277415752410889
0,-0.00379214552231133
0,-0.07162114232778549
1,0.2894169092178345
0,-0.016081063076853752
0,-0.0039075524546206
1,0.4235650897026062
0,-0.0034433798864483833
0,-0.009700177237391472
1,-0.00366900023072958
1,-0.2701685428619385
0,-0.014038492925465107
1,-0.2910557985305786
0,-0.0036848478484898806
0,-0.00407431460916996
0,0.32703250646591187
0,-0.0048986561596393585
1,0.300017774105072
1,-0.6977126002311707
1,0.29081279039382935
0,-0.5635464191436768
0,-0.003661415306851268
0,-0.003907563630491495
0,0.29348820447921753
1,-0.004007681272923946
1,0.2784229516983032
0,-0.003389187389984727
0,-0.0035616152454167604
0,-0.003991834353655577
1,-0.036083515733480453
0,-0.0033120193984359503
0,-0.003453492419794202
1,0.2701947093009949
0,0.322457492351532
0,-0.0038984317798167467
0,-0.004449272528290749
1,-0.012179668992757797
1,0.27453356981277466
0,-0.003264202270656824
0,-0.030367914587259293
0,-0.28152570128440857
0,-0.02798735536634922
0,-0.027839001268148422
0,0.3295760154724121
1,-0.0036742230877280235
1,-0.0031334368977695704
1,-0.0036751290317624807
0,-0.003920625429600477
0,-0.08144466578960419
0,-0.008489311672747135
0,-0.0037815789692103863
0,-0.004399404861032963
0,-0.0036490783095359802
0,-0.004273555241525173
0,-0.0032611985225230455
0,-0.0036645682994276285
0,0.32254457473754883
1,-0.0036824780981987715
1,-0.0032911875750869513
0,-0.003582157427445054
0,-0.0038382206112146378
1,0.3350198268890381
1,-0.0038733037654310465
1,0.28923654556274414
0,0.3753827214241028
0,-0.20681877434253693
1,-0.004035476129502058
1,-0.005035914946347475
0,-0.0032363173086196184
0,-0.00454995222389698
1,0.4056263566017151
0,-0.0038750336971133947
0,-0.003298311261460185
0,0.3033454418182373
1,0.35500115156173706
1,-0.671930730342865
1,-0.5270532965660095
1,-0.0045547340996563435
1,0.4832190275192261
1,-0.0035670718643814325
1,0.2903398871421814
0,-0.2443149834871292
1,-0.0033278099726885557
1,0.27825111150741577
0,-0.009610477834939957
0,-0.003571978770196438
0,-0.004774737171828747
0,-0.6808775067329407
0,-0.0033008279278874397
0,-0.004660177044570446
0,-0.004236530978232622
0,-0.0034341311547905207
0,-0.004115231800824404
0,-0.00308997998945415
1,0.31630969047546387
0,-0.05746326223015785
0,-0.0038766793441027403
